epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.83492,0.68358,0.66667,1,0.64561,1.428e-05,1.428e-05,1.428e-05
2,14.3191,0.65298,0.66667,1,0.62355,3.33438e-05,3.33438e-05,3.33438e-05
3,20.6217,0.60986,0.66667,1,0.60607,4.95802e-05,4.95802e-05,4.95802e-05
4,26.9042,0.56734,0.83333,1,0.58034,6.29891e-05,6.29891e-05,6.29891e-05
5,33.2052,0.52296,0.91667,1,0.5586,7.35706e-05,7.35706e-05,7.35706e-05
6,39.5017,0.48268,0.91667,1,0.53394,8.13246e-05,8.13246e-05,8.13246e-05
7,45.8339,0.43062,0.91667,1,0.51209,8.62512e-05,8.62512e-05,8.62512e-05
8,52.1694,0.42104,0.91667,1,0.50242,8.83504e-05,8.83504e-05,8.83504e-05
9,58.2931,0.43244,0.91667,1,0.51378,8.76221e-05,8.76221e-05,8.76221e-05
10,64.3694,0.38185,0.91667,1,0.51609,8.40664e-05,8.40664e-05,8.40664e-05
11,70.5579,0.35662,0.75,1,0.53649,7.76832e-05,7.76832e-05,7.76832e-05
12,76.7643,0.31568,0.75,1,0.53842,6.84726e-05,6.84726e-05,6.84726e-05
13,82.9661,0.26016,0.58333,1,0.57165,5.64346e-05,5.64346e-05,5.64346e-05
14,89.2661,0.31314,0.5,1,0.56192,4.15691e-05,4.15691e-05,4.15691e-05
15,95.4763,0.24824,0.5,1,0.57439,2.38762e-05,2.38762e-05,2.38762e-05
