epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.71131,0.7278,0.83333,1,0.55801,7.14e-06,7.14e-06,7.14e-06
2,10.0142,0.66002,0.83333,1,0.55017,2.00063e-05,2.00063e-05,2.00063e-05
3,14.2304,0.67062,0.83333,1,0.53987,3.09876e-05,3.09876e-05,3.09876e-05
4,18.4232,0.58893,0.83333,1,0.53032,4.0084e-05,4.0084e-05,4.0084e-05
5,22.5265,0.58637,0.83333,1,0.52197,4.72954e-05,4.72954e-05,4.72954e-05
6,26.5968,0.54703,0.66667,1,0.51898,5.26218e-05,5.26218e-05,5.26218e-05
7,30.6887,0.44951,0.66667,1,0.52108,5.60633e-05,5.60633e-05,5.60633e-05
8,34.7931,0.41972,0.66667,1,0.52126,5.76198e-05,5.76198e-05,5.76198e-05
9,38.8141,0.38996,0.66667,1,0.52293,5.72914e-05,5.72914e-05,5.72914e-05
10,42.8934,0.4095,0.66667,1,0.51979,5.5078e-05,5.5078e-05,5.5078e-05
11,46.8997,0.34835,0.66667,1,0.52127,5.09796e-05,5.09796e-05,5.09796e-05
12,50.9536,0.34496,0.66667,1,0.51903,4.49963e-05,4.49963e-05,4.49963e-05
13,55.0088,0.28583,0.66667,1,0.51818,3.7128e-05,3.7128e-05,3.7128e-05
14,58.9992,0.30383,0.83333,1,0.52214,2.73748e-05,2.73748e-05,2.73748e-05
15,63.0969,0.30648,0.83333,1,0.52165,1.57366e-05,1.57366e-05,1.57366e-05
