epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.0082,0.71754,0.58333,1,0.68789,1.428e-05,1.428e-05,1.428e-05
2,14.6379,0.65961,0.66667,1,0.65578,3.33438e-05,3.33438e-05,3.33438e-05
3,20.9816,0.62025,0.66667,1,0.62113,4.95802e-05,4.95802e-05,4.95802e-05
4,27.4923,0.56795,0.83333,1,0.5806,6.29891e-05,6.29891e-05,6.29891e-05
5,33.8386,0.51038,0.83333,1,0.54645,7.35706e-05,7.35706e-05,7.35706e-05
6,40.1965,0.46236,0.83333,1,0.53109,8.13246e-05,8.13246e-05,8.13246e-05
7,46.5282,0.41664,0.83333,1,0.50648,8.62512e-05,8.62512e-05,8.62512e-05
8,52.9174,0.37261,0.83333,1,0.4888,8.83504e-05,8.83504e-05,8.83504e-05
9,59.1272,0.34842,0.83333,1,0.47981,8.76221e-05,8.76221e-05,8.76221e-05
10,65.5722,0.31451,0.83333,1,0.4698,8.40664e-05,8.40664e-05,8.40664e-05
11,71.9944,0.30359,0.83333,1,0.46506,7.76832e-05,7.76832e-05,7.76832e-05
12,78.3528,0.3322,0.83333,1,0.45911,6.84726e-05,6.84726e-05,6.84726e-05
13,84.7586,0.2322,0.83333,1,0.4643,5.64346e-05,5.64346e-05,5.64346e-05
14,91.1179,0.2881,0.83333,1,0.46127,4.15691e-05,4.15691e-05,4.15691e-05
15,97.5023,0.18494,0.83333,1,0.45781,2.38762e-05,2.38762e-05,2.38762e-05
