epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.2076,0.70356,0.53333,1,0.69749,1.428e-05,1.428e-05,1.428e-05
2,17.5083,0.6864,0.53333,1,0.70093,3.42863e-05,3.42863e-05,3.42863e-05
3,25.7105,0.61739,0.4,1,0.7105,5.25961e-05,5.25961e-05,5.25961e-05
4,33.8437,0.54062,0.53333,1,0.71352,6.92094e-05,6.92094e-05,6.92094e-05
5,42.0034,0.46634,0.6,1,0.72039,8.41263e-05,8.41263e-05,8.41263e-05
6,50.0707,0.39335,0.53333,1,0.73976,9.73468e-05,9.73468e-05,9.73468e-05
7,58.2502,0.34881,0.53333,1,0.75022,0.000108871,0.000108871,0.000108871
8,66.198,0.31773,0.53333,1,0.76975,0.000118698,0.000118698,0.000118698
9,74.5139,0.26812,0.53333,1,0.82831,0.000126829,0.000126829,0.000126829
10,82.5582,0.26198,0.53333,1,0.8634,0.000133264,0.000133264,0.000133264
11,90.6247,0.19014,0.6,1,0.95862,0.000138002,0.000138002,0.000138002
12,98.6511,0.16812,0.66667,1,1.00975,0.000141044,0.000141044,0.000141044
13,106.817,0.13233,0.6,1,1.09341,0.000142389,0.000142389,0.000142389
14,114.972,0.08903,0.66667,1,1.14064,0.000142037,0.000142037,0.000142037
15,123.074,0.10411,0.6,1,1.23484,0.00013999,0.00013999,0.00013999
16,131.043,0.08328,0.6,1,1.28729,0.000136245,0.000136245,0.000136245
17,139.216,0.05065,0.66667,1,1.35903,0.000130805,0.000130805,0.000130805
18,147.328,0.11764,0.66667,1,1.37638,0.000123668,0.000123668,0.000123668
19,155.478,0.04219,0.66667,1,1.38274,0.000114834,0.000114834,0.000114834
20,163.526,0.06019,0.66667,1,1.395,0.000104304,0.000104304,0.000104304
21,171.573,0.06056,0.66667,1,1.39683,9.20774e-05,9.20774e-05,9.20774e-05
22,179.661,0.13738,0.66667,1,1.40629,7.81544e-05,7.81544e-05,7.81544e-05
23,187.932,0.04795,0.66667,1,1.40338,6.2535e-05,6.2535e-05,6.2535e-05
24,196.114,0.04517,0.66667,1,1.40415,4.5219e-05,4.5219e-05,4.5219e-05
25,204.333,0.02449,0.66667,1,1.41003,2.62067e-05,2.62067e-05,2.62067e-05
