epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.13336,0.69202,0.4,1,0.79201,1.428e-05,1.428e-05,1.428e-05
2,17.4334,0.67246,0.46667,1,0.76859,3.33438e-05,3.33438e-05,3.33438e-05
3,25.3363,0.63047,0.4,1,0.74783,4.95802e-05,4.95802e-05,4.95802e-05
4,33.4119,0.57387,0.46667,1,0.73183,6.29891e-05,6.29891e-05,6.29891e-05
5,41.4234,0.49525,0.53333,1,0.72293,7.35706e-05,7.35706e-05,7.35706e-05
6,49.4206,0.48675,0.53333,1,0.72378,8.13246e-05,8.13246e-05,8.13246e-05
7,57.3389,0.43023,0.53333,1,0.72821,8.62512e-05,8.62512e-05,8.62512e-05
8,65.4625,0.38819,0.6,1,0.73196,8.83504e-05,8.83504e-05,8.83504e-05
9,73.5409,0.37203,0.6,1,0.73218,8.76221e-05,8.76221e-05,8.76221e-05
10,81.6213,0.3476,0.6,1,0.73557,8.40664e-05,8.40664e-05,8.40664e-05
11,89.8376,0.32475,0.6,1,0.74279,7.76832e-05,7.76832e-05,7.76832e-05
12,97.837,0.26911,0.6,1,0.7536,6.84726e-05,6.84726e-05,6.84726e-05
13,105.872,0.28699,0.6,1,0.75841,5.64346e-05,5.64346e-05,5.64346e-05
14,113.817,0.2736,0.6,1,0.7608,4.15691e-05,4.15691e-05,4.15691e-05
15,121.841,0.26891,0.6,1,0.76393,2.38762e-05,2.38762e-05,2.38762e-05
