epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.88794,0.66266,0.5,1,0.60898,0,0,0
2,6.97087,0.74276,0.5,1,0.60455,6.66876e-06,6.66876e-06,6.66876e-06
3,10.0892,0.67239,0.5,1,0.60713,1.2395e-05,1.2395e-05,1.2395e-05
4,13.1483,0.65863,0.5,1,0.61543,1.71788e-05,1.71788e-05,1.71788e-05
5,16.1749,0.66742,0.5,1,0.63092,2.10202e-05,2.10202e-05,2.10202e-05
6,19.1574,0.64548,0.5,1,0.64902,2.3919e-05,2.3919e-05,2.3919e-05
7,22.1345,0.54739,0.5,1,0.67053,2.58754e-05,2.58754e-05,2.58754e-05
8,25.1084,0.55489,0.5,1,0.69464,2.68892e-05,2.68892e-05,2.68892e-05
9,28.0475,0.55094,0.25,1,0.71947,2.69606e-05,2.69606e-05,2.69606e-05
10,30.9675,0.4884,0,1,0.74874,2.60896e-05,2.60896e-05,2.60896e-05
11,33.9646,0.46033,0,1,0.7738,2.4276e-05,2.4276e-05,2.4276e-05
12,36.9028,0.45203,0,1,0.80018,2.152e-05,2.152e-05,2.152e-05
13,39.7983,0.40964,0,1,0.82387,1.78214e-05,1.78214e-05,1.78214e-05
14,42.7063,0.39265,0,1,0.84035,1.31804e-05,1.31804e-05,1.31804e-05
15,45.6618,0.38805,0,1,0.85385,7.59696e-06,7.59696e-06,7.59696e-06
