epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.2987,0.70655,0.53333,1,0.66348,1.428e-05,1.428e-05,1.428e-05
2,17.8082,0.69444,0.66667,1,0.64833,3.42863e-05,3.42863e-05,3.42863e-05
3,25.8839,0.63725,0.6,1,0.63267,5.25961e-05,5.25961e-05,5.25961e-05
4,33.8452,0.55458,0.6,1,0.60846,6.92094e-05,6.92094e-05,6.92094e-05
5,41.9256,0.47388,0.6,1,0.59585,8.41263e-05,8.41263e-05,8.41263e-05
6,49.7719,0.40411,0.6,1,0.59647,9.73468e-05,9.73468e-05,9.73468e-05
7,57.7849,0.36559,0.66667,1,0.59691,0.000108871,0.000108871,0.000108871
8,65.6649,0.33701,0.73333,1,0.6017,0.000118698,0.000118698,0.000118698
9,73.6499,0.27987,0.66667,1,0.64439,0.000126829,0.000126829,0.000126829
10,81.6239,0.31988,0.66667,1,0.68302,0.000133264,0.000133264,0.000133264
11,89.823,0.21991,0.6,1,0.74874,0.000138002,0.000138002,0.000138002
12,97.7626,0.16908,0.53333,1,0.79381,0.000141044,0.000141044,0.000141044
13,105.823,0.16699,0.53333,1,0.86879,0.000142389,0.000142389,0.000142389
14,113.808,0.12005,0.6,1,0.88101,0.000142037,0.000142037,0.000142037
15,121.815,0.12973,0.6,1,0.91126,0.00013999,0.00013999,0.00013999
16,129.899,0.11394,0.6,1,0.90255,0.000136245,0.000136245,0.000136245
17,137.919,0.0957,0.6,1,0.87226,0.000130805,0.000130805,0.000130805
18,145.958,0.12194,0.6,1,0.8627,0.000123668,0.000123668,0.000123668
19,153.899,0.04907,0.66667,1,0.8565,0.000114834,0.000114834,0.000114834
20,161.897,0.05903,0.66667,1,0.84398,0.000104304,0.000104304,0.000104304
21,169.857,0.0761,0.6,1,0.83255,9.20774e-05,9.20774e-05,9.20774e-05
22,177.796,0.08044,0.6,1,0.83388,7.81544e-05,7.81544e-05,7.81544e-05
23,185.758,0.06391,0.6,1,0.84378,6.2535e-05,6.2535e-05,6.2535e-05
24,193.705,0.04918,0.6,1,0.83894,4.5219e-05,4.5219e-05,4.5219e-05
25,201.616,0.06964,0.6,1,0.84476,2.62067e-05,2.62067e-05,2.62067e-05
