epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.30432,0.72461,0.66667,1,0.631,1.428e-05,1.428e-05,1.428e-05
2,17.8844,0.6782,0.73333,1,0.63046,3.39329e-05,3.39329e-05,3.39329e-05
3,26.0455,0.62782,0.66667,1,0.63425,5.14651e-05,5.14651e-05,5.14651e-05
4,34.2118,0.56513,0.66667,1,0.64789,6.68768e-05,6.68768e-05,6.68768e-05
5,42.4625,0.55858,0.66667,1,0.65462,8.01679e-05,8.01679e-05,8.01679e-05
6,50.4864,0.47423,0.66667,1,0.65599,9.13384e-05,9.13384e-05,9.13384e-05
7,58.6763,0.42306,0.66667,1,0.62836,0.000100388,0.000100388,0.000100388
8,66.8274,0.42661,0.66667,1,0.61443,0.000107318,0.000107318,0.000107318
9,75.1362,0.33163,0.73333,1,0.59529,0.000112127,0.000112127,0.000112127
10,83.3151,0.38658,0.73333,1,0.58422,0.000114815,0.000114815,0.000114815
11,91.5271,0.28801,0.73333,1,0.60497,0.000115382,0.000115382,0.000115382
12,99.7175,0.2346,0.66667,1,0.62088,0.000113829,0.000113829,0.000113829
13,107.945,0.22724,0.73333,1,0.65842,0.000110156,0.000110156,0.000110156
14,116.151,0.20416,0.73333,1,0.67758,0.000104362,0.000104362,0.000104362
15,124.45,0.23504,0.66667,1,0.70694,9.64471e-05,9.64471e-05,9.64471e-05
16,132.576,0.16092,0.66667,1,0.70947,8.64119e-05,8.64119e-05,8.64119e-05
17,140.931,0.15163,0.66667,1,0.7129,7.4256e-05,7.4256e-05,7.4256e-05
18,149.074,0.20879,0.66667,1,0.71466,5.99796e-05,5.99796e-05,5.99796e-05
19,157.24,0.13033,0.66667,1,0.71514,4.35826e-05,4.35826e-05,4.35826e-05
20,165.356,0.13355,0.66667,1,0.70642,2.5065e-05,2.5065e-05,2.5065e-05
