image_amount,epochs,acc,precision,recall,f1,training_time(s)
50,20,0.7,1.0,0.4,0.5714285714285714,83.4194
50,20,0.6,0.6,0.6,0.6,82.2659
50,20,0.5,0.5,0.8,0.6153846153846154,82.3836
