epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.88166,0.62785,0.5,1,0.66904,0,0,0
2,4.65288,0.71849,0.5,1,0.65134,6.66876e-06,6.66876e-06,6.66876e-06
3,6.28864,0.63678,0.5,1,0.63686,1.2395e-05,1.2395e-05,1.2395e-05
4,8.0059,0.6212,0.5,1,0.62724,1.71788e-05,1.71788e-05,1.71788e-05
5,9.66044,0.6398,0.5,1,0.62253,2.10202e-05,2.10202e-05,2.10202e-05
6,11.2654,0.55435,0.5,1,0.61433,2.3919e-05,2.3919e-05,2.3919e-05
7,12.8849,0.53088,0.5,1,0.61175,2.58754e-05,2.58754e-05,2.58754e-05
8,14.5771,0.43953,1,1,0.60797,2.68892e-05,2.68892e-05,2.68892e-05
9,16.1668,0.41981,1,1,0.61059,2.69606e-05,2.69606e-05,2.69606e-05
10,17.8177,0.44108,1,1,0.61099,2.60896e-05,2.60896e-05,2.60896e-05
11,19.4216,0.32963,1,1,0.618,2.4276e-05,2.4276e-05,2.4276e-05
12,21.0305,0.30158,1,1,0.63202,2.152e-05,2.152e-05,2.152e-05
13,22.6043,0.28775,0.5,1,0.64318,1.78214e-05,1.78214e-05,1.78214e-05
14,24.1906,0.25081,0.5,1,0.65578,1.31804e-05,1.31804e-05,1.31804e-05
15,25.7781,0.28031,0.5,1,0.66784,7.59696e-06,7.59696e-06,7.59696e-06
