epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.36755,0.70677,0.6,1,0.71158,1.428e-05,1.428e-05,1.428e-05
2,17.9032,0.69784,0.53333,1,0.69798,3.33438e-05,3.33438e-05,3.33438e-05
3,26.0931,0.60515,0.46667,1,0.67835,4.95802e-05,4.95802e-05,4.95802e-05
4,34.2795,0.55696,0.53333,1,0.66903,6.29891e-05,6.29891e-05,6.29891e-05
5,42.5201,0.49046,0.6,1,0.67852,7.35706e-05,7.35706e-05,7.35706e-05
6,50.7132,0.45456,0.6,1,0.68228,8.13246e-05,8.13246e-05,8.13246e-05
7,59.0536,0.39836,0.53333,1,0.70295,8.62512e-05,8.62512e-05,8.62512e-05
8,67.1973,0.366,0.53333,1,0.71578,8.83504e-05,8.83504e-05,8.83504e-05
9,75.4721,0.32663,0.53333,1,0.73947,8.76221e-05,8.76221e-05,8.76221e-05
10,83.5231,0.31816,0.53333,1,0.74681,8.40664e-05,8.40664e-05,8.40664e-05
11,91.7822,0.26946,0.53333,1,0.76573,7.76832e-05,7.76832e-05,7.76832e-05
12,99.996,0.31733,0.53333,1,0.77804,6.84726e-05,6.84726e-05,6.84726e-05
13,108.295,0.22862,0.53333,1,0.79672,5.64346e-05,5.64346e-05,5.64346e-05
14,116.452,0.20407,0.53333,1,0.80086,4.15691e-05,4.15691e-05,4.15691e-05
15,124.727,0.2213,0.53333,1,0.8002,2.38762e-05,2.38762e-05,2.38762e-05
