epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.67674,0.71764,0.66667,1,0.5925,7.14e-06,7.14e-06,7.14e-06
2,9.7915,0.7051,0.66667,1,0.58624,2.00063e-05,2.00063e-05,2.00063e-05
3,13.7726,0.64137,0.83333,1,0.58755,3.09876e-05,3.09876e-05,3.09876e-05
4,17.9196,0.61948,1,1,0.59361,4.0084e-05,4.0084e-05,4.0084e-05
5,21.9571,0.55265,1,1,0.60904,4.72954e-05,4.72954e-05,4.72954e-05
6,25.9093,0.51732,0.83333,1,0.63444,5.26218e-05,5.26218e-05,5.26218e-05
7,29.8244,0.42536,0.66667,1,0.66034,5.60633e-05,5.60633e-05,5.60633e-05
8,33.8622,0.40414,0.5,1,0.68554,5.76198e-05,5.76198e-05,5.76198e-05
9,37.7713,0.36618,0.5,1,0.69483,5.72914e-05,5.72914e-05,5.72914e-05
10,41.6965,0.33346,0.5,1,0.71215,5.5078e-05,5.5078e-05,5.5078e-05
11,45.5893,0.35757,0.5,1,0.72984,5.09796e-05,5.09796e-05,5.09796e-05
12,49.4387,0.36066,0.5,1,0.7449,4.49963e-05,4.49963e-05,4.49963e-05
13,53.3347,0.29448,0.5,1,0.76489,3.7128e-05,3.7128e-05,3.7128e-05
14,57.1627,0.31749,0.5,1,0.78977,2.73748e-05,2.73748e-05,2.73748e-05
15,61.081,0.26559,0.5,1,0.81314,1.57366e-05,1.57366e-05,1.57366e-05
