epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.25682,0.71908,0.25,1,0.79205,1.428e-05,1.428e-05,1.428e-05
2,15.2228,0.64768,0.41667,1,0.76911,3.33438e-05,3.33438e-05,3.33438e-05
3,21.7643,0.60598,0.41667,1,0.75697,4.95802e-05,4.95802e-05,4.95802e-05
4,28.2951,0.56044,0.5,1,0.75607,6.29891e-05,6.29891e-05,6.29891e-05
5,34.8521,0.5005,0.5,1,0.77034,7.35706e-05,7.35706e-05,7.35706e-05
6,41.3507,0.46884,0.5,1,0.79714,8.13246e-05,8.13246e-05,8.13246e-05
7,47.9578,0.38368,0.58333,1,0.81277,8.62512e-05,8.62512e-05,8.62512e-05
8,54.4309,0.36507,0.5,1,0.83103,8.83504e-05,8.83504e-05,8.83504e-05
9,60.7467,0.29557,0.41667,1,0.83385,8.76221e-05,8.76221e-05,8.76221e-05
10,67.2626,0.26868,0.5,1,0.83343,8.40664e-05,8.40664e-05,8.40664e-05
11,73.7339,0.28489,0.5,1,0.83912,7.76832e-05,7.76832e-05,7.76832e-05
12,80.1295,0.26736,0.5,1,0.83539,6.84726e-05,6.84726e-05,6.84726e-05
13,86.6739,0.24773,0.5,1,0.82654,5.64346e-05,5.64346e-05,5.64346e-05
14,93.1758,0.21172,0.5,1,0.82249,4.15691e-05,4.15691e-05,4.15691e-05
15,99.6188,0.21807,0.5,1,0.82823,2.38762e-05,2.38762e-05,2.38762e-05
