epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.2346,0.78916,0.83333,1,0.5984,1.428e-05,1.428e-05,1.428e-05
2,12.7558,0.70124,0.75,1,0.58317,3.33438e-05,3.33438e-05,3.33438e-05
3,18.2961,0.63878,0.83333,1,0.57441,4.95802e-05,4.95802e-05,4.95802e-05
4,23.677,0.55031,0.91667,1,0.56339,6.29891e-05,6.29891e-05,6.29891e-05
5,29.166,0.46048,0.83333,1,0.56292,7.35706e-05,7.35706e-05,7.35706e-05
6,34.5706,0.44811,0.75,1,0.56095,8.13246e-05,8.13246e-05,8.13246e-05
7,39.879,0.4178,0.75,1,0.53674,8.62512e-05,8.62512e-05,8.62512e-05
8,45.1607,0.36567,0.75,1,0.53396,8.83504e-05,8.83504e-05,8.83504e-05
9,50.3953,0.3259,0.66667,1,0.5282,8.76221e-05,8.76221e-05,8.76221e-05
10,55.6749,0.2575,0.66667,1,0.52522,8.40664e-05,8.40664e-05,8.40664e-05
11,60.9852,0.31433,0.66667,1,0.51482,7.76832e-05,7.76832e-05,7.76832e-05
12,66.3023,0.29772,0.66667,1,0.52191,6.84726e-05,6.84726e-05,6.84726e-05
13,71.625,0.2211,0.66667,1,0.4852,5.64346e-05,5.64346e-05,5.64346e-05
14,76.8557,0.20071,0.66667,1,0.49695,4.15691e-05,4.15691e-05,4.15691e-05
15,82.2659,0.21252,0.66667,1,0.47899,2.38762e-05,2.38762e-05,2.38762e-05
