epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.92988,0.70463,0.6,1,0.66501,1.428e-05,1.428e-05,1.428e-05
2,16.9018,0.70192,0.6,1,0.65011,3.39329e-05,3.39329e-05,3.39329e-05
3,24.773,0.64051,0.73333,1,0.62049,5.14651e-05,5.14651e-05,5.14651e-05
4,32.536,0.62147,0.73333,1,0.58598,6.68768e-05,6.68768e-05,6.68768e-05
5,40.4721,0.50907,0.73333,1,0.56027,8.01679e-05,8.01679e-05,8.01679e-05
6,48.2958,0.48696,0.66667,1,0.55807,9.13384e-05,9.13384e-05,9.13384e-05
7,55.9722,0.4545,0.6,1,0.54437,0.000100388,0.000100388,0.000100388
8,63.7261,0.4286,0.6,1,0.54236,0.000107318,0.000107318,0.000107318
9,71.6735,0.41245,0.6,1,0.54355,0.000112127,0.000112127,0.000112127
10,79.4758,0.37165,0.6,1,0.54161,0.000114815,0.000114815,0.000114815
11,87.2619,0.33266,0.6,1,0.54246,0.000115382,0.000115382,0.000115382
12,95.0434,0.25096,0.6,1,0.53781,0.000113829,0.000113829,0.000113829
13,102.744,0.22907,0.66667,1,0.53657,0.000110156,0.000110156,0.000110156
14,110.648,0.21012,0.66667,1,0.54164,0.000104362,0.000104362,0.000104362
15,118.489,0.20459,0.66667,1,0.55184,9.64471e-05,9.64471e-05,9.64471e-05
16,126.291,0.19038,0.73333,1,0.55396,8.64119e-05,8.64119e-05,8.64119e-05
17,134.108,0.21627,0.73333,1,0.55759,7.4256e-05,7.4256e-05,7.4256e-05
18,141.926,0.22134,0.73333,1,0.56604,5.99796e-05,5.99796e-05,5.99796e-05
19,149.791,0.11145,0.73333,1,0.57006,4.35826e-05,4.35826e-05,4.35826e-05
20,157.644,0.14243,0.73333,1,0.57362,2.5065e-05,2.5065e-05,2.5065e-05
