epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.26685,0.71327,0.66667,1,0.67392,1.428e-05,1.428e-05,1.428e-05
2,17.6625,0.68092,0.66667,1,0.68725,3.42863e-05,3.42863e-05,3.42863e-05
3,25.905,0.61017,0.66667,1,0.69503,5.25961e-05,5.25961e-05,5.25961e-05
4,34.2444,0.59587,0.66667,1,0.69303,6.92094e-05,6.92094e-05,6.92094e-05
5,42.4406,0.49885,0.66667,1,0.68344,8.41263e-05,8.41263e-05,8.41263e-05
6,50.4995,0.4234,0.66667,1,0.67988,9.73468e-05,9.73468e-05,9.73468e-05
7,58.6304,0.3929,0.73333,1,0.6549,0.000108871,0.000108871,0.000108871
8,66.7283,0.36287,0.73333,1,0.64166,0.000118698,0.000118698,0.000118698
9,74.97,0.31868,0.73333,1,0.61281,0.000126829,0.000126829,0.000126829
10,83.1782,0.28946,0.73333,1,0.60313,0.000133264,0.000133264,0.000133264
11,91.3748,0.23992,0.73333,1,0.60465,0.000138002,0.000138002,0.000138002
12,99.5578,0.22847,0.73333,1,0.62025,0.000141044,0.000141044,0.000141044
13,107.858,0.18436,0.8,1,0.62182,0.000142389,0.000142389,0.000142389
14,115.98,0.1641,0.8,1,0.64343,0.000142037,0.000142037,0.000142037
15,124.31,0.13187,0.8,1,0.69921,0.00013999,0.00013999,0.00013999
16,132.592,0.14454,0.8,1,0.71491,0.000136245,0.000136245,0.000136245
17,140.722,0.12016,0.8,1,0.75448,0.000130805,0.000130805,0.000130805
18,148.942,0.15477,0.8,1,0.77789,0.000123668,0.000123668,0.000123668
19,157.023,0.10409,0.8,1,0.79188,0.000114834,0.000114834,0.000114834
20,165.266,0.07819,0.8,1,0.80113,0.000104304,0.000104304,0.000104304
21,173.462,0.11726,0.86667,1,0.80249,9.20774e-05,9.20774e-05,9.20774e-05
22,181.623,0.10148,0.8,1,0.8076,7.81544e-05,7.81544e-05,7.81544e-05
23,189.702,0.07119,0.86667,1,0.80151,6.2535e-05,6.2535e-05,6.2535e-05
24,197.874,0.11278,0.86667,1,0.79771,4.5219e-05,4.5219e-05,4.5219e-05
25,206.024,0.03126,0.86667,1,0.79664,2.62067e-05,2.62067e-05,2.62067e-05
