epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.65618,0.67351,0.83333,1,0.5165,7.14e-06,7.14e-06,7.14e-06
2,9.82302,0.68352,0.83333,1,0.51711,2.00063e-05,2.00063e-05,2.00063e-05
3,13.9471,0.62406,1,1,0.51218,3.09876e-05,3.09876e-05,3.09876e-05
4,18.1917,0.58539,1,1,0.50258,4.0084e-05,4.0084e-05,4.0084e-05
5,22.2193,0.52604,1,1,0.49545,4.72954e-05,4.72954e-05,4.72954e-05
6,26.2837,0.47778,1,1,0.48775,5.26218e-05,5.26218e-05,5.26218e-05
7,30.349,0.40417,0.83333,1,0.48097,5.60633e-05,5.60633e-05,5.60633e-05
8,34.4358,0.41262,0.83333,1,0.46688,5.76198e-05,5.76198e-05,5.76198e-05
9,38.4164,0.3308,0.83333,1,0.46355,5.72914e-05,5.72914e-05,5.72914e-05
10,42.4658,0.35423,0.83333,1,0.46812,5.5078e-05,5.5078e-05,5.5078e-05
11,46.5025,0.29676,0.83333,1,0.4598,5.09796e-05,5.09796e-05,5.09796e-05
12,50.5056,0.28331,0.83333,1,0.45885,4.49963e-05,4.49963e-05,4.49963e-05
13,54.5411,0.2565,0.83333,1,0.45391,3.7128e-05,3.7128e-05,3.7128e-05
14,58.5774,0.27851,0.66667,1,0.45723,2.73748e-05,2.73748e-05,2.73748e-05
15,62.6173,0.20806,0.66667,1,0.45363,1.57366e-05,1.57366e-05,1.57366e-05
